Product Description,Product Name,ID,Unit Price,Category,Stock Quantity,Inventory Value,Photo's Link,Ingredients
Fabric Conditioner,Surf Fabric Conditioner Luxxe Perfume Sachet | 25ml,000-001,5.00,Household Care,18,₱90.00,https://imartgrocersph.com/wp-content/uploads/2020/08/Surf-Fabric-Conditioner-Luxe-Perfume-25mL-.jpg,
Fabric Conditioner,Surf Fabric Conditioner Blossom Fresh Sachet | 25ml,000-002,₱5.00,Household Care,24,₱120.00,https://cf.shopee.ph/file/96314bf66dbe76fcedf6273f38a22f7c,
Fabric Conditioner,Surf Fabric Conditioner Cherry Blossom Sachet | 25ml,000-003,₱5.00,Household Care,24,₱120.00,https://cf.shopee.ph/file/96314bf66dbe76fcedf6273f38a22f7c,
Fabric Conditioner,Surf Fabric Conditioner Charcoal Fresh Sachet | 25ml,000-004,₱5.00,Household Care,24,₱120.00,https://cf.shopee.ph/file/2f31ff59a14c58bf0732f003e47fa6a4,
Fabric Conditioner,Downy Antibac | 36ml,000-005,₱8.00,Household Care,24,₱192.00,http://cdn.shopify.com/s/files/1/0421/2454/2105/products/4902430832762_60a90cfa-30cd-4be6-91f7-424a10a4a7c0.jpg?v=1628483633,
Fabric Conditioner,Downy Sunrise Fresh | 38ml,000-006,₱8.00,Household Care,24,₱192.00,https://www.shopmagic.ph/images/detailed/14/DOWNY_FABRIC_CONDITIONER_SUNRISE_FRESH_28ML.jpg,
Fabric Conditioner,Downy Kulob | 23ml,000-007,₱6.00,Household Care,24,₱144.00,https://ph-live-05.slatic.net/p/0309b1ad7a970da08030d35947a84709.jpg_2200x2200q80.jpg_.webp,
Fabric Conditioner,Downy Fabric Conditioner Garden Bloom Tripid| 66ml,000-008,₱14.00,Household Care,24,₱336.00,https://cf.shopee.ph/file/060b7d1e14b24da620e60aa995eccbf5,
Fabric Conditioner,Downy Fabric Conditioner Antibac Tripid | 63ml,000-009,₱14.00,Household Care,24,₱336.00,https://cdn.store-assets.com/s/377840/i/17237670.jpeg,
Fabric Conditioner,Downy Fabric Conditioner Passion Tripid | 63ml,000-010,₱14.00,Household Care,24,₱336.00,https://cdn.store-assets.com/s/377840/i/17110018.jpeg,
Detergent Powder,Surf Powder Kalamansi | 75g,000-011,₱6.00,Household Care,12,₱72.00,https://boholonlinestore.com/wp-content/uploads/2017/01/surf_laundry_detergent_powder_kalamansi_65g-600x600.jpg,
Detergent Powder,Surf Powder Detergent Cherry Blossom | 75g,000-012,₱6.00,Household Care,24,₱144.00,https://ph-test-11.slatic.net/p/0974d5eab212ee2bd490209f1c075a96.jpg,
Detergent Powder,Surf Powder Detergent Rose Fresh | 75g,000-013,₱6.00,Household Care,36,₱216.00,https://www.srssulit.com/wp-content/uploads/products/17821-1.png,
Detergent Powder,Surf Powder Detergent Sun Fresh | 75g,000-014,₱6.00,Household Care,24,₱144.00,https://www.srssulit.com/wp-content/uploads/products/17848-1.png,
Detergent Powder,Surf Powder Detergent Antibac | 75g,000-015,₱6.00,Household Care,12,₱72.00,https://boholonlinestore.com/product/surf-detergent-anti-bacterial-2-2kg/?v=a66b1f581a38,
Detergent Powder,Surf Powder Detergent Purple Blossom | 75g,000-016,₱6.00,Household Care,12,₱72.00,https://cf.shopee.ph/file/16b1564e50f88930498bed13ed97637f,
Detergent Powder,Breeze Powder Twin Pack | 70g,000-017,₱12.00,Household Care,24,₱288.00,https://cf.shopee.ph/file/8944ed914bf305a19be1e8d5878f02e2,
Liquid Detergent,Breeze Liquid Detergent | 64ml,000-018,₱12.00,Household Care,12,₱144.00,https://cf.shopee.ph/file/f366163fb7ffe17677a11f95d382066b,
Detergent Powder,Tide Detergent Powder Perfect Clean Original Scent Jumbo Twin Sachet | 80g,000-019,₱12.00,Household Care,36,₱432.00,https://cdn.shopify.com/s/files/1/0275/0935/8707/products/image_dffb3174-2b96-4735-bf11-9f003c857540_554x554.jpg?v=1613439653,
Detergent Powder,Tide Detergent Powder Perfect Clean Original Scent Jumbo Twin Sachet | 80g,000-020,₱12.00,Household Care,36,₱432.00,https://cdn.shopify.com/s/files/1/0275/0935/8707/products/image_dffb3174-2b96-4735-bf11-9f003c857540_554x554.jpg?v=1613439653,
Detergent Powder,Calla Detergent Powder Floral Fresh | 45g,000-021,₱5.00,Household Care,56,₱280.00,https://fishersupermarket.ph/wp-content/uploads/2020/09/4806501709109.png,
Detergent Bar,Surf Laundry Bar Detergent Kalamansi | 360g ,000-022,₱6.00,Household Care,3,₱18.00,https://cdn.shopify.com/s/files/1/0358/1335/9748/products/surf-laundry-surf-bar-kalamansi-360g-14910216667268_600x600_crop_center.jpg?v=1606737834,
Detergent Bar,Surf Laundry Bar Detergent Rose Fresh | 360g ,000-023,₱6.00,Household Care,3,₱18.00,https://csistore.ph/wp-content/uploads/2020/06/67784536-SURF-BAR-BLOSSOM-FRESH-36X360G.jpg,
Detergent Bar,Surf Laundry Bar Detergent Sun Fresh | 360g ,000-024,₱6.00,Household Care,3,₱18.00,https://d2t3trus7wwxyy.cloudfront.net/catalog/product/cache/9903e74bdb2761d0dfeafc776997aeb4/s/u/surf-bar-sun-fresh-360g_2.jpg,
Detergent Bar,Surf Laundry Bar Detergent Cherry Blossom | 360g ,000-025,₱6.00,Household Care,3,₱18.00,https://fishersupermarket.ph/wp-content/uploads/2020/10/4800888190987.jpg,
Detergent Bar,Tide Bar Lemon Kalamansi | 380g,000-026,₱11.00,Household Care,6,₱66.00,https://shop.themetrostores.ph/marketmarket-supermarket/wp-content/uploads/2021/08/SM10271125-2-1.jpg,
Detergent Bar,Tide Ultra Detergent Bar Original Scent | 380g,000-027,₱11.00,Household Care,4,₱44.00,https://cf.shopee.ph/file/9d4e1770987caa1b18a0c7cd7e51a00b,
Detergent Bar,Tide Ultra Detergent Bar Original Scent | 125g,000-028,₱11.00,Household Care,6,₱66.00,https://csistore.ph/wp-content/uploads/2020/07/Tide-Bar-Original-Scent-Cut-up-125g.jpg,
Detergent Bar,Tide Bar Perfume Fantasy | 125g,000-029,₱11.00,Household Care,8,₱88.00,https://cf.shopee.ph/file/f996c650abfeb9195ddb6ea01589a0fd,
Detergent Bar,Tide Detergent Bar With Downy | 125g,000-030,₱11.00,Household Care,4,₱44.00,https://fishersupermarket.ph/wp-content/uploads/2020/10/4902430411530.jpg,
Detergent Bar,Tide Bar Lemon Kalamansi | 380g,000-031,₱6.00,Household Care,2,₱12.00,https://cdn.shopify.com/s/files/1/0358/1335/9748/products/tide-laundry-tide-bar-lemon-and-kalamansi-380g-15015889830020_1024x.jpg?v=1605209745,
Detergent Bar,Perla Papaya Laundry Soap | 110g,000-032,₱15.00,Household Care,15,₱225.00,https://cdn.shopify.com/s/files/1/0275/0935/8707/products/image_8a3f7de1-f367-4735-9216-c679d9fa4787_554x554.jpg?v=1590422930,
Dishwashing Liquid,Joy Dishwashing Liquid Antibac | 17ml,000-033,₱6.00,Household Care,48,₱288.00,https://imartgrocersph.com/wp-content/uploads/2020/09/Joy-Antibac-with-Safeguard-17mL.png,
Dishwashing Liquid,Joy Dishwashing Liquid Lemon | 17ml,000-034,₱6.00,Household Care,24,₱144.00,https://davaogroceriesonline.com/product/joy-dishwashing-liquid-lemon-20ml-x-6-sachets/,
Dishwashing Liquid,Joy Dishwashing Liquid Calamansi | 17ml,000-035,₱6.00,Household Care,24,₱144.00,https://davaogroceriesonline.com/product/joy-dishwashing-liquid-lemon-20ml-x-6-sachets/,
Dishwashing Liquid,Joy Dishwashing Liquid Antibac | 40ml,000-036,₱12.00,Household Care,24,₱288.00,http://cdn.shopify.com/s/files/1/0257/1884/9583/products/68983.jpg?v=1620379455,
Dishwashing Liquid,Joy Dishwashing Liquid Lemon | 40ml,000-037,₱12.00,Household Care,24,₱288.00,http://cdn.shopify.com/s/files/1/0257/1884/9583/products/68984.jpg?v=1620379459,
Dishwashing Liquid,Joy Dishwashing Liquid Calamansi | 40ml,000-038,₱12.00,Household Care,48,₱576.00,http://cdn.shopify.com/s/files/1/0358/1335/9748/products/joy-house-care-joy-dishwashing-liquid-kalamansi-40ml-15188938981508_1024x.jpg?v=1606297025,
Pest Control,Baygon Katol Mosquito Coil Lavander,000-039,₱5.00,Household Care,80,₱400.00,https://ph-test-11.slatic.net/p/5aed9776e009e1335ec9c8562d4b7390.jpg,
Bleach,Zonrox Original Bleach | 100ml,000-040,₱9.00,Household Care,24,₱216.00,https://cf.shopee.ph/file/b56cf00ee863c8e78053e8e0ad732954,
Bleach,Zonrox Original Bleach | 250ml,000-041,₱13.00,Household Care,20,₱260.00,https://cdn.shopify.com/s/files/1/0358/1335/9748/products/zonrox-laundry-zonrox-bleach-original-250ml-14910216372356_600x600_crop_center.png?v=1605072719,
Bleach,Zonrox Original Bleach | 500ml,000-042,₱24.00,Household Care,24,₱576.00,https://cdn.shopify.com/s/files/1/0562/3096/9503/products/zonrox-original-500ml-laundry-aids-445_grande.png?v=1634905340,
Bleach,Zonrox Original Bleach | 1000ml,000-043,₱38.00,Household Care,18,₱684.00,https://csistore.ph/wp-content/uploads/2020/06/ZONROX-orig-1L-24x1l.jpg,
Bleach,Zonrox Colorsafe Bleach | 250ml,000-044,₱24.00,Household Care,12,₱288.00,https://cdn.shopify.com/s/files/1/0257/1884/9583/products/57070_800x600.jpg?v=1620381165,
Bleach,Dolux Bleach Classic Stain Remover | 1000ml,000-045,₱29.00,Household Care,0,₱0.00,https://cf.shopee.ph/file/4ce695760202d21185b9f5109cdcc233,
Bleach,Dolux Bleach Classic Stain Remover | 250ml,000-046,₱11.00,Household Care,0,₱0.00,https://cdn.shortpixel.ai/spai/q_lossy+ret_img+to_webp/https://salangikopu.com/wp-content/uploads/2020/09/Dolux-Bleach-Classic-Stain-Remover-250-ML-Main.png,
Tissue,Femme Bathroom Tissue 2 ply roll,000-047,₱10.00,Household Care,36,₱360.00,https://cf.shopee.ph/file/8762716b67b69a9e4e12e37db5d225d4,
Paper & Plastic Household Supplies,My Everyday Fork White Medium 25's,000-048,₱12.00,Household Care,25,₱300.00,https://cf.shopee.ph/file/7568c2502f88b90f8a1cc120bec074ab,
Paper & Plastic Household Supplies,My Everyday Spoon White Medium 25's,000-049,₱12.00,Household Care,6,₱72.00,https://getgrocery.ph/wp-content/uploads/2020/06/My-Everyday-Spoon-White-25s.jpg,
Paper & Plastic Household Supplies,My Everyday Paper Plate 9 Silver 25's,000-050,₱12.00,Household Care,6,₱72.00,https://cf.shopee.ph/file/42e5311303da0b615b3dc831be2fac93,
